"Changes.Transects","Changes.Dates","Changes.Dates2","Changes.Years","Changes.Years.Eras","Changes.Distances","Changes.Dist.Eras","Rates.Consec.Eras"
"15","3","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
"16","3","03/01/2006 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","139.15947980835","324.496665367678","324.496665367678","2.33183298625845"
"17","3","04/18/1974 12:00:01 AM","04/18/1974 12:00:01 AM","107.290782569017","-31.8686972393338","280.849785368761","-43.6468799989173","1.36958469532436"
"18","3","05/12/1951 12:00:01 AM","05/12/1951 12:00:01 AM","84.355806525211","-22.9349760438056","222.698096643239","-58.1516887255223","2.5355024838244"
"19","3","10/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","57.7467488021903","-26.6090577230208","102.246360359361","-120.451736283877","4.52671934262703"
"20","3","11/24/1933 12:00:01 AM","11/24/1933 12:00:01 AM","66.8939082819986","9.14715947980835","161.3237269229","59.0773665635386","6.45854778130275"
"21","3","11/25/2003 12:00:01 AM","11/25/2003 12:00:01 AM","136.895277207392","70.0013689253935","324.056863966673","162.733137043773","2.3247136383463"
"22","4","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
"23","4","03/01/2006 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","139.15947980835","339.925388058983","339.925388058983","2.44270378508979"
"24","4","04/18/1974 12:00:01 AM","04/18/1974 12:00:01 AM","107.290782569017","-31.8686972393338","292.725544768883","-47.1998432901005","1.48107225518602"
"25","4","05/12/1951 12:00:01 AM","05/12/1951 12:00:01 AM","84.355806525211","-22.9349760438056","227.576070672951","-65.1494740959313","2.8406166185435"
"26","4","10/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","57.7467488021903","-26.6090577230208","104.270523877285","-123.305546795667","4.63396893190206"
"27","4","11/24/1933 12:00:01 AM","11/24/1933 12:00:01 AM","66.8939082819986","9.14715947980835","162.552089891918","58.2815660146331","6.3715480355716"
"28","4","11/25/2003 12:00:01 AM","11/25/2003 12:00:01 AM","136.895277207392","70.0013689253935","335.880203933693","173.328114041775","2.47606749271584"
"29","5","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
"30","5","03/01/2006 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","139.15947980835","353.24966220638","353.24966220638","2.53845201701582"
"31","5","04/18/1974 12:00:01 AM","04/18/1974 12:00:01 AM","107.290782569017","-31.8686972393338","306.676652379598","-46.5730098267814","1.4614030023574"
"32","5","05/12/1951 12:00:01 AM","05/12/1951 12:00:01 AM","84.355806525211","-22.9349760438056","231.780206659013","-74.8964457205847","3.26559947468587"
"33","5","10/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","57.7467488021903","-26.6090577230208","108.614215830361","-123.165990828652","4.62872425287331"
"34","5","11/24/1933 12:00:01 AM","11/24/1933 12:00:01 AM","66.8939082819986","9.14715947980835","161.405568495318","52.791352664957","5.77133838996574"
"35","5","11/25/2003 12:00:01 AM","11/25/2003 12:00:01 AM","136.895277207392","70.0013689253935","347.607710606784","186.202142111466","2.65997858284625"
"36","6","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
"37","6","03/01/2006 12:00:01 AM","03/01/2006 12:00:01 AM","139.15947980835","139.15947980835","362.884342740255","362.884342740255","2.60768682981581"
"38","6","04/18/1974 12:00:01 AM","04/18/1974 12:00:01 AM","107.290782569017","-31.8686972393338","316.999705444491","-45.884637295764","1.43980273028328"
"39","6","05/12/1951 12:00:01 AM","05/12/1951 12:00:01 AM","84.355806525211","-22.9349760438056","235.70788451344","-81.2918209310513","3.54444760595278"
"40","6","10/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","57.7467488021903","-26.6090577230208","109.041514030896","-126.666370482543","4.76027267861343"
"41","6","11/24/1933 12:00:01 AM","11/24/1933 12:00:01 AM","66.8939082819986","9.14715947980835","156.140993423179","47.0994793922825","5.14908256451098"
"42","6","11/25/2003 12:00:01 AM","11/25/2003 12:00:01 AM","136.895277207392","70.0013689253935","355.631082134122","199.490088710944","2.84980267919556"
"43","7","01/01/1867 12:00:01 AM","01/01/1867 12:00:01 AM","0","0","0","0","0"
