"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
98,NA,-5.0498642786834,NA,NA,-63.1683222961624,-59.8681606011623,-57.1128762393157,-62.851643209787,NA,NA
99,NA,-5.0912330440709,NA,-45.2917458297983,-58.7363775486976,-53.6574057468591,-56.1019156378462,-58.4005056920772,NA,NA
100,NA,-5.0992471577227,NA,-42.1092395397311,-55.7593767502782,-61.2672573888424,-55.0704696433336,-63.2271572304519,NA,NA
101,NA,-5.0521669003167,NA,-38.829359627821,-38.4319427437103,-42.2222210862909,-49.3511649928252,-47.3889226985966,NA,NA
102,NA,-5.9429950129677,NA,-39.781807638232,-29.2549410941718,-45.4446684869102,-52.3564129452762,-48.2540023853481,NA,NA
103,NA,-5.0021326957355,NA,-29.4832638230306,-39.8730077495636,-42.288939226505,-43.2347508494054,-51.0836383107847,NA,NA
104,NA,-5.0100005264092,NA,-34.6521273367834,-34.7029629219011,-52.9372760972314,-50.6424900118439,-52.9700386050292,NA,NA
105,NA,-5.1673788701339,NA,-33.3079706260769,-34.1240824551143,-47.3745023804083,-52.5555993823649,-57.5883955570486,NA,NA
106,NA,-5.0001007178105,NA,-36.3623583911414,-31.9718923626033,-40.2479966519462,-33.5156152079693,-54.191251099181,NA,NA
107,NA,-5.0013590418967,NA,-38.6018203584623,-32.5237388504462,-39.3373147432807,-37.5466517068316,-51.5962454171186,NA,NA
108,NA,-5.8139129761313,NA,-21.3065015549399,-16.6173014527338,-25.6606160724624,-24.9806271751304,-35.6432897906124,NA,NA
109,NA,-5.4139670211251,NA,-29.9295470132129,-22.7863399099688,-27.3118868906949,-25.9095701323037,-38.5268348717045,NA,NA
110,NA,-5.2416975609331,NA,-37.5625544756922,-32.0661374265227,-41.221929899663,-38.6543540271779,-46.5247074948044,NA,NA
111,NA,-5.8699977861124,NA,NA,NA,NA,-49.3168628333912,-67.0278253089868,NA,NA
